Language,Snippet
xml,<?x ?xm xml mlv lve ver ers rsi sio ion on= n=" ="1 "1. 1.0 .0" 0"? "?> ?>< ><d <de dev eve vel elo lop opm pme men ent nts tst sto tor ora rag age gex exm xml mln lns ns: s:x :xs xsd sd= d=" ="h "ht htt ttp tp: p:/ :// //w /ww www ww. w.w .w3 w3. 3.o .or org rg/ g/2 /20 200 001 01/ 1/x /xm xml mls lsc sch che hem ema ma" a"x "xm xml mln lns ns: s:x :xs xsi si= i=" ="h "ht htt ttp tp: p:/ :// //w /ww www ww. w.w .w3 w3. 3.o .or org rg/ g/2 /20 200 001 01/ 1/x /xm xml mls lsc sch che hem ema ma- a-i -in ins nst sta tan anc nce ce" e"v "ve ver ers rsi sio ion on= n=" ="2 "20 200 009 09- 9-0 -03 03- 3-1 -18 18" 8"> ">< ><s <sq sql qli lin ins nst sta tan anc nce ce> e>( >(l (lo loc oca cal ald ldb db) b)\ )\v \v1 v11 11. 1.0 .0< 0</ </s /sq sql qli lin ins nst sta tan anc nce ce> e>< ><p <pa pag age geb ebl blo lob obr bro roo oot ot> t>c >c: c:\ :\u \us use ser ers rs\ s\c \ca car arl rl\ l\a \ap app ppd pda dat ata ta\ a\l \lo loc oca cal al\ l\d \de dev eve vel elo lop opm pme men ent nts tst sto tor ora rag age ge\ e\p \pa pag age geb ebl blo lob obr bro roo oot ot< t</ </p /pa pag age geb ebl blo lob obr bro roo oot ot> t>< ><b <bl blo loc ock ckb kbl blo lob obr bro roo oot ot> t>c >c: c:\ :\u \us use ser ers rs\ s\c \ca car arl rl\ l\a \ap app ppd pda dat ata ta\ a\l \lo loc oca cal al\ l\d \de dev eve vel elo lop opm pme men ent nts tst sto tor ora rag age ge\ e\b \bl blo loc ock ckb kbl blo lob obr bro roo oot ot< t</ </b /bl blo loc ock ckb kbl blo lob obr bro roo oot ot> t>< ><l <lo log ogp gpa pat ath th> h>c >c: c:\ :\u \us use ser ers rs\ s\c \ca car arl rl\ l\a \ap app ppd pda dat ata ta\ a\l \lo loc oca cal al\ l\d \de dev eve vel elo lop opm pme men ent nts tst sto tor ora rag age ge\ e\l \lo log ogs gs< s</ </l /lo log ogp gpa pat ath th> h>< ><l <lo log ogg ggi gin ing nge gen ena nab abl ble led ed> d>f >fa fal als lse se< e</ </l /lo log ogg ggi gin ing nge gen ena nab abl ble led ed> d>< ></ </d /de dev eve vel elo lop opm pme men ent nts tst sto tor ora rag age
swift,@ob obj bjc jcf cfu fun unc nch cha han and ndl dle let eta tap ap( p(s (se sen end nde der er: r:u :ui uit ita tap apg pge ges est stu tur ure rer ere rec eco cog ogn gni niz ize zer er) r){ ){i {if ifl fle let ett tta tap app ppe ped eds dsc sce cen ene nev evi vie iew ew= w=s =se sen end nde der er. r.v .vi vie iew ewa was as? s?a ?ar ars rsc scn cnv nvi vie iew ew{ w{l {le let ett tta tap apl plo loc oca cat ati tio ion oni nin inv nvi vie iew ew= w=s =se sen end nde der er. r.l .lo loc oca cat ati tio ion on( n(i (in in: n:t :ta tap app ppe ped eds dsc sce cen ene nev evi vie iew ew) w)l )le let etp tpl pla lan ane neh ehi hit itt tte tes est st= t=t =ta tap app ppe ped eds dsc sce cen ene nev evi vie iew ew. w.h .hi hit itt tte tes est st( t(t (ta tap apl plo loc oca cat ati tio ion oni nin inv nvi vie iew ew wt ty typ ype pes es: s:. :.e .ex exi xis ist sti tin ing ngp gpl pla lan ane neu eus usi sin ing nge gex ext xte ten ent nt) t)i )if if! f!p !pl pla lan ane neh ehi hit itt tte tes est st. t.i .is ise sem emp mpt pty ty{ y{a {ad add ddf dfu fur urn rni nit itu tur ure re( e(h (hi hit itt tte tes est st: t:p :pl pla lan ane neh ehi hit itt tte tes est st) t)} )}}
javascript,var arm rmy my_ y_d _da dat ata tas ase set et= t=[ =[{ [{i {id id: d:" :"1 "1" 1" "t te tex ext xt: t:" :"c "ch cha hai air irm rma man an& n&c &ce ceo eo" o" "t ti tit itl tle le: e:" :"h "he hen enr nry ryb ybe ben enn nne net ett tt" t"} "} }{ {i {id id: d:" :"2 "2" 2" "t te tex ext xt: t:" :"m "ma man ana nag age ger er" r" "t ti tit itl tle le: e:" :"m "mi mil ild ldr dre red edk dki kim im" m"} "} }{ {i {id id: d:" :"3 "3" 3" "t te tex ext xt: t:" :"t "te tec ech chn hni nic ica cal ald ldi dir ire rec ect cto tor or" r" "t ti tit itl tle le: e:" :"j "je jer err rry ryw ywa wag agn gne ner er" r"} "} }{ {i {id id: d:" :"1 "1- 1-2 -2" 2" "f fr fro rom om: m:" :"1 "1" 1" "t to to: o:" :"2 "2" 2" "t ty typ ype pe: e:" :"l "li lin ine ne" e"} "} }{ {i {id id: d:" :"1 "1- 1-3 -3" 3" "f fr fro rom om: m:" :"1 "1" 1" "t to to: o:" :"3 "3" 3" "t ty typ ype pe: e:" :"l "li lin ine ne" e"} "}]
javascript,var arm rmy my_ y_d _da dat ata tas ase set et= t=[ =[{ [{i {id id: d:" :"1 "1" 1" "t te tex ext xt: t:" :"c "ch cha hai air irm rma man an& n&c &ce ceo eo" o" "c co col olo lor or: r:" :"# "#6 #67 673 73a 3ab ab7 b7" 7" "c cs css ss: s:" :"m "my mys yst sty tyl yle le" e" "} } }{ {i {id id: d:" :"2 "2" 2" "t te tex ext xt: t:" :"m "ma man ana nag age ger er" r" "c co col olo lor or: r:" :"# "#e #e9 e91 91e 1e6 e63 63" 3"} "} }{ {i {id id: d:" :"3 "3" 3" "t te tex ext xt: t:" :"t "te tec ech chn hni nic ica cal ald ldi dir ire rec ect cto tor or" r" "c co col olo lor or: r:" :"# "#9 #9c 9c2 c27 27b 7b0 b0" 0" "w wi wid idt dth th: h:2 :20 200 00} 0} }{ {i {id id: d:" :"1 "1- 1-2 -2" 2" "f fr fro rom om: m:" :"1 "1" 1" "t to to: o:" :"2 "2" 2" "c cs css ss: s:" :"m "my myc yco con onn nne nec ect cto tor or" r" "t ty typ ype pe: e:" :"l "li lin ine ne" e"} "} }{ {i {id id: d:" :"1 "1- 1-3 -3" 3" "f fr fro rom om: m:" :"1 "1" 1" "t to to: o:" :"3 "3" 3" "t ty typ ype pe: e:" :"l "li lin ine ne" e"}
javascript,var arm rmy my_ y_d _da dat ata tas ase set et= t=[ =[{ [{" {"i "id id" d": ":1 :1 1" "t "te tex ext xt" t": ":" :"i "it ite tem em: m:1 :1" 1" "} } }{ {" {"i "id id" d": ":2 :2 2" "t "te tex ext xt" t": ":" :"i "it ite tem em: m:2 :2" 2" "" "p "pa par are ren ent nt" t": ":1 :1 1" "d "di dir ir" r": ":" :"v "ve ver ert rti tic ica cal al" l"} "} }{ {" {"i "id id" d": ":3 :3 3" "t "te tex ext xt" t": ":" :"i "it ite tem em: m:3 :3" 3" "" "p "pa par are ren ent nt" t": ":1 :14 14} 4} }{ {" {"i "id id" d": ":7 :7 7" "t "te tex ext xt" t": ":" :"i "it ite tem em: m:7 :7" 7" "" "p "pa par are ren ent nt" t": ":1 :14 14} 4} }{ {" {"i "id id" d": ":1 :14 14 4" "t "te tex ext xt" t": ":" :"i "it ite tem em: m:1 :14 14" 4" "" "p "pa par are ren ent nt" t": ":2 :2} 2} }{ {" {"i "id id" d": ":1 :19 19 9" "t "te tex ext xt" t": ":" :"i "it ite tem em: m:1 :19 19" 9" "" "p "pa par are ren ent nt" t": ":2 :2} 2}]
c#,pub ubl bli lic icc ccl cla las ass ssa sap app ppi pin int nte ten ent nts ts_ s_d _dr dro roi oid id: d:i :ia iap app ppi pin int nte ten ent nts ts{ s{p {pu pub ubl bli lic icv cvo voi oid idh dha han and ndl dle lew ewe web ebv bvi vie iew ewu wur uri ri( i(s (st str tri rin ing ngu gur uri ri) i){ ){v {va var ara rap app ppu pur uri ri= i=a =an and ndr dro roi oid id. d.n .ne net et. t.u .ur uri ri. i.p .pa par ars rse se( e(u (ur uri ri) i); );v ;va var ara rap app ppi pin int nte ten ent nt= t=n =ne new ewi win int nte ten ent nt( t(i (in int nte ten ent nt. t.a .ac act cti tio ion onv nvi vie iew ew wa ap app ppu pur uri ri) i); );a ;ap app ppl pli lic ica cat ati tio ion on. n.c .co con ont nte tex ext xt. t.s .st sta tar art rta tac act cti tiv ivi vit ity ty( y(a (ap app ppi pin int nte ten ent nt) t); );}
python,#im imp mpo por ort rt` t`t `te ten ens nso sor orf rfl flo low ow` w`a `an and nd` d`p `pa pan and nda das as` s`i `im imp mpo por ort rtt tte ten ens nso sor orf rfl flo low owa was ast stf tfi fim imp mpo por ort rtp tpa pan and nda das asa sas asp spd pdc dco col olu lum umn mn_ n_n _na nam ame mes es= s=[ =[' ['s 'se sep epa pal all lle len eng ngt gth th' h' '' 's 'se sep epa pal alw lwi wid idt dth th' h' '' 'p 'pe pet eta tal all lle len eng ngt gth th' h' '' 'p 'pe pet eta tal alw lwi wid idt dth th' h' '' 's 'sp spe pec eci cie ies es' s'] ']# ]#i #im imp mpo por ort rtt ttr tra rai ain ini nin ing ngd gda dat ata tas ase set ett ttr tra rai ain ini nin ing ng_ g_d _da dat ata tas ase set et= t=p =pd pd. d.r .re rea ead ad_ d_c _cs csv sv( v(' ('i 'ir iri ris is_ s_t _tr tra rai ain ini nin ing ng. g.c .cs csv sv' v' 'n na nam ame mes es= s=c =co col olu lum umn mn_ n_n _na nam ame mes es sh he hea ead ade der er= r=0 =0) 0)t )tr tra rai ain in_ n_x _x= x=t =tr tra rai ain ini nin ing ng_ g_d _da dat ata tas ase set et. t.i .il ilo loc oc[ c[: [: :0 0: 0:4 :4] 4]t ]tr tra rai ain in_ n_y _y= y=t =tr tra rai ain ini nin ing ng_ g_d _da dat ata tas ase set et. t.i .il ilo loc oc[ c[: [: :4 4] 4]# ]#i #im imp mpo por ort rtt tte tes est sti tin ing ngd gda dat ata tas ase set ett tte tes est st_ t_d _da dat ata tas ase set et= t=p =pd pd. d.r .re rea ead ad_ d_c _cs csv sv( v(' ('i 'ir iri ris is_ s_t _te tes est st. t.c .cs csv sv' v' 'n na nam ame mes es= s=c =co col olu lum umn mn_ n_n _na nam ame mes es sh he hea ead ade der er= r=0 =0) 0)t )te tes est st_ t_x _x= x=t =te tes est st_ t_d _da dat ata tas ase set et. t.i .il ilo loc oc[ c[: [: :0 0: 0:4 :4] 4]t ]te tes est st_ t_y _y= y=t =te tes est st_ t_d _da dat ata tas ase set et. t.i .il ilo loc oc[ c[: [: :4
python,#se set etu tup upf pfe fea eat atu tur ure rec eco col olu lum umn mns nsc sco col olu lum umn mns ns_ s_f _fe fea eat at= t=[ =[t [tf tf. f.f .fe fea eat atu tur ure re_ e_c _co col olu lum umn mn. n.n .nu num ume mer eri ric ic_ c_c _co col olu lum umn mn( n(k (ke key ey= y=' ='s 'se sep epa pal all lle len eng ngt gth th' h') ') )t tf tf. f.f .fe fea eat atu tur ure re_ e_c _co col olu lum umn mn. n.n .nu num ume mer eri ric ic_ c_c _co col olu lum umn mn( n(k (ke key ey= y=' ='s 'se sep epa pal alw lwi wid idt dth th' h') ') )t tf tf. f.f .fe fea eat atu tur ure re_ e_c _co col olu lum umn mn. n.n .nu num ume mer eri ric ic_ c_c _co col olu lum umn mn( n(k (ke key ey= y=' ='p 'pe pet eta tal all lle len eng ngt gth th' h') ') )t tf tf. f.f .fe fea eat atu tur ure re_ e_c _co col olu lum umn mn. n.n .nu num ume mer eri ric ic_ c_c _co col olu lum umn mn( n(k (ke key ey= y=' ='p 'pe pet eta tal alw lwi wid idt dth th' h')
python,#de def efi fin ine net etr tra rai ain inf nfu fun unc nct cti tio ion ond nde def eft ftr tra rai ain in_ n_f _fu fun unc nct cti tio ion on( n(i (in inp npu put uts ts so ou out utp tpu put uts ts sb ba bat atc tch ch_ h_s _si siz ize ze) e): ):d :da dat ata tas ase set et= t=t =tf tf. f.d .da dat ata ta. a.d .da dat ata tas ase set et. t.f .fr fro rom om_ m_t _te ten ens nso sor or_ r_s _sl sli lic ice ces es( s(( ((d (di dic ict ct( t(i (in inp npu put uts ts) s) )o ou out utp tpu put uts ts) s)) ))d )da dat ata tas ase set et= t=d =da dat ata tas ase set et. t.s .sh shu huf uff ffl fle le( e(1 (10 100 000 00) 0). ).r .re rep epe pea eat at( t() (). ).b .ba bat atc tch ch( h(b (ba bat atc tch ch_ h_s _si siz ize ze) e)r )re ret etu tur urn rnd nda dat ata tas ase set et. t.m .ma mak ake ke_ e_o _on one ne_ e_s _sh sho hot ot_ t_i _it ite ter era rat ato tor or( r() (). ).g .ge get et_ t_n _ne nex ext xt( t() ()# )#t #tr tra rai ain int nth the hem emo mod ode del el. l.c .cl cla las ass ssi sif ifi fie ier er. r.t .tr tra rai ain in( n(i (in inp npu put ut_ t_f _fn fn= n=l =la lam amb mbd bda da: a:t :tr tra rai ain in_ n_f _fu fun unc nct cti tio ion on( n(t (tr tra rai ain in_ n_x _x xt tr tra rai ain in_ n_y _y y1 10 100 00) 0) )s st ste tep eps ps= s=1 =10 100 000
python,#de def efi fin ine nee eev eva val alu lua uat ati tio ion onf nfu fun unc nct cti tio ion ond nde def efe fev eva val alu lua uat ati tio ion on_ n_f _fu fun unc nct cti tio ion on( n(a (at att ttr tri rib ibu but ute tes es sc cl cla las ass sse ses es sb ba bat atc tch ch_ h_s _si siz ize ze) e): ):a :at att ttr tri rib ibu but ute tes es= s=d =di dic ict ct( t(a (at att ttr tri rib ibu but ute tes es) s)i )if ifc fcl cla las ass sse ses esi sis isn sno non one ne: e:i :in inp npu put uts ts= s=a =at att ttr tri rib ibu but ute tes ese sel els lse se: e:i :in inp npu put uts ts= s=( =(a (at att ttr tri rib ibu but ute tes es sc cl cla las ass sse ses es) s)d )da dat ata tas ase set et= t=t =tf tf. f.d .da dat ata ta. a.d .da dat ata tas ase set et. t.f .fr fro rom om_ m_t _te ten ens nso sor or_ r_s _sl sli lic ice ces es( s(i (in inp npu put uts ts) s)a )as ass sse ser ert rtb tba bat atc tch ch_ h_s _si siz ize zei eis isn sno not otn tno non one ne e" "b "ba bat atc tch ch_ h_s _si siz ize zem emu mus ust stn tno not otb tbe ben eno non one ne" e"d "da dat ata tas ase set et= t=d =da dat ata tas ase set et. t.b .ba bat atc tch ch( h(b (ba bat atc tch ch_ h_s _si siz ize ze) e)r )re ret etu tur urn rnd nda dat ata tas ase set et. t.m .ma mak ake ke_ e_o _on one ne_ e_s _sh sho hot ot_ t_i _it ite ter era rat ato tor or( r() (). ).g .ge get et_ t_n _ne nex ext xt( t() ()# )#e #ev eva val alu lua uat ate tet eth the hem emo mod ode del el. l.e .ev eva val al_ l_r _re res esu sul ult lt= t=c =cl cla las ass ssi sif ifi fie ier er. r.e .ev eva val alu lua uat ate te( e(i (in inp npu put ut_ t_f _fn fn= n=l =la lam amb mbd bda da: a:e :ev eva val alu lua uat ati tio ion on_ n_f _fu fun unc nct cti tio ion on( n(t (te tes est st_ t_x _x xt te tes est st_ t_y _y y1 10 100 00)
